Iteration,Loop_Count,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
57,10,136117600,69042500,180993300
57,100,234496200,158962500,242590000
57,1000,923059900,69397600,912887900
58,10,160775900,239906300,183294100
58,100,229000900,237419100,249260600
58,1000,889219200,71035300,950426700
59,10,172018200,85748900,190867600
59,100,263270000,88850600,252756300
59,1000,944079000,83073300,930599800
60,10,189127400,87979700,187812300
60,100,218300200,85532000,256214600
60,1000,946821300,87760500,935397700
61,10,164364600,79170200,170338600
61,100,263395400,86415800,253476700
61,1000,936507400,97824300,929229300
62,10,138074800,78734900,181700200
62,100,242435500,138596900,248322700
62,1000,933497200,102024800,921120600
63,10,170445600,259699000,175729500
63,100,238758600,208963600,254373599
63,1000,912829500,239772000,934920400
64,10,134654500,64442299,181068900
64,100,263968099,69405100,217774400
64,1000,890089300,65124900,920835800
65,10,137998500,63597000,174690400
65,100,274579600,64340600,222459300
65,1000,916774600,64822000,905119000
66,10,134666000,63305000,176185200
66,100,221192800,69995000,216741100
66,1000,937353400,64596600,909312900
67,10,135651500,63712000,173109100
67,100,202867700,64388799,241491600
67,1000,946143200,67286300,900091000
68,10,137237000,67981200,151650500
68,100,203680100,63970900,254246299
68,1000,899771800,66756600,902819700
69,10,144000000,67261400,154621100
69,100,205316000,84886400,251608300
69,1000,889626600,65066600,909131200
70,10,147300800,66971400,154025700
70,100,231800100,80151600,245539000
70,1000,895034700,64340600,906783600
71,10,137179700,63818100,150359500
71,100,233886900,84151700,227107200
71,1000,888754800,64337099,899355100
72,10,160275400,63998200,177613100
72,100,260420800,67090899,216164000
72,1000,892902500,64591800,904312000
73,10,134456600,63703200,179082200
73,100,263931199,63789000,219554700
73,1000,919423500,64464400,901944600
74,10,135572700,64858500,181947800
74,100,221189400,65556900,217801500
74,1000,927674400,64794300,898982400
75,10,136139600,63558100,175580500
75,100,204846100,64518000,243766900
75,1000,949548700,67415700,902896600
76,10,136786600,69226200,155888600
76,100,204881300,64284900,252507600
76,1000,905793300,67064000,907318200
77,10,143155600,64516500,149714900
77,100,229655300,80342100,250273000
77,1000,896019600,64739000,905121000
78,10,137706500,65536899,150539500
78,100,230656700,80581800,229187500
78,1000,890978200,64436999,902389800
